iter	Passed	Remaining
175	1319	1678
176	1327	1673
177	1334	1664
178	1341	1656
179	1347	1646
180	1365	1652
181	1381	1654
182	1399	1658
183	1409	1654
184	1420	1651
185	1433	1648
186	1444	1645
187	1466	1653
188	1474	1646
189	1484	1641
190	1498	1639
191	1508	1634
192	1519	1629
193	1531	1626
194	1541	1620
195	1548	1611
196	1554	1602
197	1562	1594
198	1569	1585
199	1576	1576
200	1583	1567
201	1617	1585
202	1624	1576
203	1631	1567
204	1637	1557
205	1643	1548
206	1650	1538
207	1656	1529
208	1663	1520
209	1669	1510
210	1683	1507
211	1691	1500
212	1701	1493
213	1710	1486
214	1718	1478
215	1725	1469
216	1731	1460
217	1738	1451
218	1744	1441
219	1751	1432
220	1757	1423
221	1775	1423
222	1782	1414
223	1789	1405
224	1796	1397
225	1811	1394
226	1818	1385
227	1825	1377
228	1832	1368
229	1847	1365
230	1856	1358
231	1863	1349
232	1869	1340
233	1876	1331
234	1883	1322
235	1889	1313
236	1897	1304
237	1903	1295
238	1910	1286
239	1916	1277
240	1922	1268
241	1928	1259
242	1935	1250
243	1944	1242
244	1950	1234
245	1957	1225
246	1964	1217
247	1971	1208
248	1981	1201
249	1998	1199
250	2023	1200
251	2029	1191
252	2035	1182
253	2041	1173
254	2048	1164
255	2054	1155
256	2060	1146
257	2066	1137
258	2073	1128
259	2080	1120
260	2086	1111
261	2092	1102
262	2099	1093
263	2106	1085
264	2113	1076
265	2119	1067
266	2125	1058
267	2132	1050
268	2156	1050
269	2162	1041
270	2169	1032
271	2175	1023
272	2182	1015
273	2191	1007
274	2199	999
275	2208	992
276	2218	984
277	2224	976
278	2231	967
279	2238	959
280	2245	950
281	2253	942
282	2260	934
283	2266	925
284	2272	917
285	2278	908
286	2308	909
287	2317	901
288	2325	893
289	2332	884
290	2338	876
291	2345	867
292	2350	858
293	2358	850
294	2367	842
295	2373	834
296	2379	825
297	2386	816
298	2393	808
299	2399	799
300	2407	791
301	2413	783
302	2423	775
303	2438	770
304	2445	761
305	2451	753
306	2457	744
307	2464	736
308	2471	727
309	2478	719
310	2484	711
311	2491	702
312	2497	694
313	2504	685
314	2510	677
315	2517	669
316	2523	660
317	2532	653
318	2553	648
319	2560	640
320	2577	634
321	2583	625
322	2589	617
323	2596	609
324	2621	605
325	2628	596
326	2635	588
327	2641	579
328	2648	571
329	2654	563
330	2661	554
331	2668	546
332	2674	538
333	2680	529
334	2686	521
335	2693	513
336	2700	504
337	2706	496
338	2713	488
339	2739	483
340	2747	475
341	2774	470
342	2781	462
343	2789	454
344	2815	448
345	2821	440
346	2827	431
347	2834	423
348	2840	415
349	2848	406
350	2858	399
351	2864	390
352	2870	382
353	2876	373
354	2882	365
355	2889	357
356	2895	348
357	2902	340
358	2909	332
359	2915	323
360	2924	315
361	2931	307
362	2937	299
363	2946	291
364	2952	283
365	2969	275
366	2975	267
367	2982	259
368	2989	251
369	2996	242
370	3003	234
371	3009	226
372	3016	218
373	3023	210
374	3029	201
375	3035	193
376	3042	185
377	3048	177
378	3054	169
379	3060	161
380	3067	152
381	3073	144
382	3080	136
383	3086	128
384	3092	120
385	3099	112
386	3105	104
387	3111	96
388	3118	88
389	3125	80
390	3131	72
391	3137	64
392	3143	55
393	3150	47
394	3156	39
395	3162	31
396	3181	24
397	3196	16
398	3202	8
399	3209	0
